song,artist,lyrics
mirror,lil-wayne,"With everything happening today|-|You dont know whether you're coming or going|-|But you think that you're on your way|-|Life lined up on the mirror dont blow it|-|Look at me when Im talkin to you|-|You looking at me but I'm lookin through you|-|I see the blood in your eyes|-|I see the love in disguise|-|I see the pain hidden in your pride|-|I see you're not satisfied|-|And I dont see nobody else|-|I see myself I'm looking at the Mirror on the wall, here we are again|-|Through my rise and fall|-|You've been my only friend|-|You told me that they can understand the man I am So why are we here talkin' to each other again Uh, I see the truth in your lies|-|I see nobody by your side|-|but I'm with you when you re all alone|-|And you correct me when Im lookin wrong|-|I see that guilt beneath the shame|-|I see your soul through your window pain I see the scars that remain|-|I see you Wayne, Im lookin at the. Mirror on the wall, here we are again|-|Through my rise and fall You've been my only friend|-|You told me that they can understand the man I am|-|So why are we here talkin' to each other again Lookin at me now I can see my past|-|Damn I look just like my f-ckin dad|-|Light it up, thats smokin' mirrors|-|I even look good in the broken mirror I see my momma smile thats a blessin|-|I see the change, I see the message|-|and no message could been any clearer|-|So I'm stared with the man in the... Mirror on the wall (MJ taught me that)|-|Here we are again|-|Through my rise and fall|-|You've been my only friend (Take em to Mars, man)|-|You told me that they can understand the man I am|-|So why are we talkin' to each other again|-|Mirror on the wall, here we are again|-|Through my rise and fall|-|You've been my only friend|-|You told me that they can understand the man I am|-|So why are we here talkin' to each other again|-|Mirror on the wall...|-|(Hey B.P., looks like I did take em to Mars this time)|-|So why are we talkin to each other again"
misunderstood,lil-wayne,"Baby, understand me now|-|If sometimes you see that I'm mad|-|Don't you know no one alive can always be an angel?|-|When everythin goes wrong, you see some bad But I'm just a soul whose intentions are good|-|Oh Lord, please don't let me be misunderstood OH, Misunderstood, ain't gotta be explained|-|But you don't understand me, so let me explain|-|Stood in the heat, the flames, the snow|-|Please slow down hurricane The wind blow, my dreads swang|-|He had hair like wool, like Wayne|-|Droppin ashes in the Bible|-|I shake em out and they fall on the rifle Scary, Hail Mary no tale fairy|-|All real very, extraordinary|-|Perry Mason facin the barrel if he tattle|-|My God is my judge, no gown, no gavel I'm a rebel, down to battle|-|Now or never, I would never end it ever|-|Fuckin fantastic, fuck if you agree, i am bright|-|But I don't give a fuck if you see me I'm just a soul whose intentions are good|-|Oh Lord, please don't let me be misunderstood What's understood ain't gotta be explained|-|So for those who understand, meet Dwayne|-|For 8 and a half months I gave Ms. Cita the pain|-|Now, it's Young Money, baby, keep the change My mama say fuck em and we the same|-|So, hello mothafucka, you got some sheets to change|-|And ain't it funny how people change|-|Like Easter Sunday, you know church fit then outfit Bright pink and green chest look house lit|-|Bright pinky rins but that ain't about this, what you bout bitch?|-|Excuse my French emotion in my passion|-|But I wear my heart on my sleeve like it's the new fashion What are you askin?|-|If I don't have the answer its probably on the web|-|Like I'm a damn Tarantula but I know you don't understand|-|Cause you thought Lil Wayne is Weezy, but Weezy is Dwayne I'm just a soul whose intentions are good|-|Oh Lord, please don't let me be misunderstood I was watchin T.V. the other day, right|-|Got this white guy up there talkin about black guys|-|Talkin about how young black guys are targeted|-|Targeted by who? America You see 1 in every 100 Americans are locked up|-|1 in every 9 black Americans are locked up|-|And see what the white guy was tryin to stress was that|-|The money we spend on sendin a mothafucka to jail A young mothafucka to jail|-|Would be less to send his or her young ass to college|-|See, and another thin the white guy was stressin|-|Was that our jails are populated with drug dealers You know crack cocaine, stuff like that|-|Meanin due to the laws we have|-|On crack cocaine and regular cocaine|-|Police are only, I don't want to say only, right But shit, only logic by ridin around|-|In the hood all day and not in the suburbs|-|Because crack cocaine is mostly found in the hood|-|And you know the other thin is mostly found in|-|You know where I'm goin But why brin a mothafucka to jail|-|If it's not gon stand up in court|-|Cause this drug aint that drug|-|You know level 3, level 4 drug, shit like that I guess it's all a misunderstandin, I sit back and think|-|You know us young mothafuckas, you know that 1 in 9|-|We probably only sellin the crack cocaine|-|Because we in the hood And it's not like in the suburb|-|We don't have what you have, why?|-|I really don't wanna know the answer|-|I guess we just misunderstood huh? You know we don't have room in the jail now|-|For the real mothafuckas, the real criminals|-|Sex offenders, rapists serial killers|-|Don't get scared, don't get scared I'm just a soul whose intentions are good|-|Oh Lord, please don't let me be misunderstood"
bedrock,lil-wayne,"I can make your bedrock|-|I can make your bedrock, girl|-|I can make your bedrock|-|I can make your bedrock She got that good, good, she Michael Jackson Bad|-|I'm attracted to her for her attractive ass|-|And now we murderers because we kill time|-|I knock her lights out and she still shine I hate to see her go but I love to watch her leave|-|But I keep her running back and forth like a soccer team|-|Cold as a winter day, hot as a summer's eve|-|Young Money thieves, steal your love and leave I like the way you walk and if you walking my way|-|I'm that Red Bull, now let's fly away|-|Let's buy a place with all kind of space|-|I let you be the judge and I'm the case I'm Gudda Gudda, I put her under|-|I see me with her, no Stevie Wonder|-|She don't even wonder 'cause she know she bad|-|And I got her nigga, grocery bag Oh baby, I be stuck to you like glue|-|Baby, wanna spend it all on you|-|Baby, my room is the G spot, call me Mr. Flintstone|-|I can make your bedrock I can make your bedrock|-|I can make your bedrock, girl|-|I can make your bedrock|-|I can make your bedrock Okay, I get it, let me think, I guess it's my turn|-|Maybe it's time to put this pussy on your sideburns|-|He say I'm bad, he probably right|-|He pressing me like button downs on a Friday night I'm so pretty like, me on my pedal bike|-|He on my low scrunch, he on my echo whites|-|He say, ""Nikki, don't stop, you the bestest""|-|And I just be coming off the top as bestest I love your sushi roll, hotter than wasabi|-|I race for your love, shake and bake Ricky Bobby|-|I'm at the W but I can't meet you in the lobby|-|Girl, I gotta watch my back 'cause I'm not just anybody I seen 'em stand in line just to get beside her|-|I let her see the Aston and let the rest surprise her|-|That's when we disappear you need GPS to find her|-|Oh, that was your girl? I thought I recognized her Oh baby, I be stuck to you like glue|-|Baby, wanna spend it all on you|-|Baby, my room is the G spot, call me Mr. Flintstone|-|I can make your bedrock I can make your bedrock|-|I can make your bedrock, girl|-|I can make your bedrock|-|I can make your bedrock She like tanning, I like staying in|-|She like romancing, I like rolling with friends|-|She said I'm caged in, I think her conscious is|-|She watching that Oxygen, I'm watching ESPN But when that show end, she all on my skin|-|Lotion, slow motion, roller coasting like back forth, hold it|-|She pose like it's for posters and I poke like I'm supposed to|-|Take this photo if you for me, she said, ""Don't you ever show this"" I'm too loyal and too focused|-|To be losing and be hopeless, when I spoke this, she rejoiced it|-|Said your words get me open, so I closed it|-|Where your clothes is, I'm only loving for the moment Uh, she ain't got a man but she's not alone|-|Miss Independent, yeah, she got her own|-|Hey gorgeous, I mean flawless, well, that's what you are|-|How I see it is how I call it, yeah Look it how she walk, she know she bad|-|Do, do your thing, baby, I ain't even mad|-|And I ain't even fast, I'ma stay a while|-|Hold yo' head Chris, I'ma take her down Oh baby, I be stuck to you like glue|-|Baby, wanna spend it all on you|-|Baby, my room is the G spot, call me Mr. Flintstone|-|I can make your bedrock I can make your bedrock|-|I can make your bedrock, girl|-|I can make your bedrock|-|I can make your bedrock Oh baby, I be stuck to you like glue|-|Baby, wanna spend it all on you|-|Baby, my room is the G spot, call me Mr. Flintstone|-|I can make your bedrock I can make your bedrock|-|I can make your bedrock, girl|-|I can make your bedrock|-|I can make your bedrock"
6-foot-7-foot,lil-wayne,"Six-foot, seven-foot, eight-foot bunch|-|Six, six-foot, seven-foot, eight-foot bunch Excuse my charisma, vodka with a spritzer|-|Swagger down pat, call my shit Patricia|-|Young Money militia and I am the commissioner|-|You no wan' start Weezy 'cause the F is for Finisher So misunderstood but what's a world without enigma?|-|Two bitches at the same time, synchronized swimmers|-|Got the girl twisted 'cause she open when you twist her|-|Never met the bitch but I fuck her like I missed her Life is the bitch and death is her sister|-|Sleep is the cousin, what a fuckin' family picture You know Father Time and we all know Mother Nature|-|It's all in the family but I am of no relation|-|No matter who's buyin', I'm a celebration|-|Black and white diamonds, fuck segregation Fuck that shit, my money up, you niggas just Honey Nut|-|Young Money runnin' shit and you niggas just runner-ups|-|I don't feel I done enough, so I'ma keep on doin' this shit|-|Lil' Tunechi or Young Tuna Fish Six-foot, seven-foot, eight-foot bunch|-|Six-foot, seven-foot, eight-foot bunch Yeah, I'm goin' back in|-|Okay, I lost my mind, it's somewhere out there stranded|-|I think you stand under me if you don't understand me|-|Had my heart broken by this woman named Tammy|-|But hoes gon' be hoes so I couldn't blame Tammy Just talked to Moms, told her she the sweetest|-|I beat the beat up, call it self-defense|-|Swear man, I be seein' through these niggas like sequins|-|Niggas think they He-Men, pow, pow, the end Talkin' to myself because I am my own consultant|-|Married to the money, fuck the world, that's adultery|-|You full of shit, you close your mouth and let yo' ass talk|-|Young Money eatin', all you haters do is add salt Stop playin', bitch, I got this game on deadbolt|-|Mind so sharp, I fuck around and cut my head off Real nigga all day and tomorrow|-|But these motherfuckers talkin' crazy like they jaw broke|-|Glass half empty, half full, I'll spill ya|-|Try me and run into a wall, outfielder You know I'ma ball 'til they turn off the field lights|-|The fruits of my labor, I enjoy 'em while they still ripe|-|Bitch, stop playin', I do it like a king do|-|If these niggas animals then I'ma have a mink soon Tell 'em bitches I say put my name on the wall|-|I speak the truth but I guess that's a foreign language to y'all|-|And I call it like I see it and my glasses on|-|But most of y'all don't get the picture 'less the flash is on Satisfied with nothin', you don't know the half of it|-|Young Money, Cash Money Paper chasin', tell that paper, ""Look, I'm right behind ya""|-|Bitch, real G's move in silence like lasagna|-|People say I'm borderline crazy, sorta, kinda|-|Woman of my dreams, I don't sleep so I can't find her You niggas are gelatin, peanuts to an elephant|-|I got through that sentence like a subject and a predicate|-|Yeah, with a swag you would kill for|-|Money too strong, pockets on bodybuilder Jumped in a wishin' well, now wish me well|-|Tell 'em kiss my ass, call it kiss and tell Word to my mama, I'm out of my lima bean|-|Don't wanna see what that drama mean, get some Dramamine|-|Llama scream, hotter than summer sun on a Ghana queen|-|Now all I want is hits, bitch, Wayne signed a fiend I played the side for you niggas that's tryna front and see|-|Son of Gun, Son of Sam, you nigga's the son of me|-|Pause for this dumber speech, I glow like Buddha|-|Disturb me and you'll be all over the flo' like Luda|-|Bitch, I flow like scuba, bitch, I'm bold like Cuba|-|And I keep a killer hoe, she gon' blow right through ya|-|I be mackin', 'bout my stackin', now I pack like a mover|-|Shout to ratchet for backin' out on behalf of my shooter|-|Niggas think they high as I, I come laugh at your ruler|-|Cash Money cold, bitch but our actions is cooler|-|Wayne, these niggas out they mind|-|I done told these fuck niggas so many times|-|That I keep these bucks steady on my mind|-|Tuck these, I fuck these on your mind, pause|-|To feed them, on my grind, did I get a little love?|-|Keep throwin' my sign in the middle|-|Hit 'em up, piece on my side|-|'Cause ain't no peace on my side, bitch|-|I'm a man, I visit urinals with pride|-|Tune told me to, I'm shootin' when the funeral outside|-|I'm uptown, thoroughbred, a BX nigga, ya heard? Gunna"
a-milli,lil-wayne,"Young Money! You dig?|-|Mack, I'm going in A millionaire, I'm a Young Money millionaire|-|Tougher than Nigerian hair|-|My criteria compared to your career just isn't fair|-|I'm a venereal disease, like a menstrual, bleed|-|Through the pencil, I leak on the sheet of the tablet in my mind|-|'Cause I don't write shit, 'cause I ain't got time|-|'Cause my seconds, minutes, hours go to the almighty dollar|-|And the almighty power of that ch-cha-cha-chopper|-|Sister, brother, son, daughter, father; mother-fuck a copper|-|Got the Maserati dancing on the bridge, pussy poppin'|-|Tell the coppers: ""Ha-ha-ha-ha|-|You can't catch him, you can't stop him""|-|I go by them goon rules, if you can't beat 'em then you pop 'em|-|You can't man 'em then you mop 'em|-|You can't stand 'em then you drop 'em|-|You pop 'em 'cause we pop 'em like Orville Redenbacher Motherfucker, I'm ill A million here a million there|-|Sicilian bitch with long hair, with coke in her derriere|-|Like smoke in the thinnest air|-|I open the Lamborghini, hopin' them crackers see me|-|Like, ""Look at that bastard Weezy!""|-|He's a beast, he's a dog, he's a mothafuckin' problem|-|Okay, you're a goon, but what's a goon to a goblin?|-|Nothin', nothin', you ain't scaring nothin'|-|On some faggot bullshit; call 'em Dennis Rodman|-|Call me what you want, bitch! Call me on my Sidekick!|-|Never answer when it's private, damn, I hate a shy bitch|-|Don't you hate a shy bitch?|-|Yeah, I ate a shy bitch, and she ain't shy no more|-|She changed her name to My Bitch|-|Yeah, nigga, that's my bitch; so when she ask for the money when you through, don't be surprised, bitch!|-|It ain't trickin' if you got it|-|But you like a bitch with no ass; you ain't got shit|-|Motherfucker, I'm ill; not sick|-|And I'm okay, but my watch sick, yeah, my drop sick|-|Yeah, my Glock sick, and my knot thick; I'm it Motherfucker, I'm ill They say I'm rappin' like B.I.G., Jay, and 2Pac|-|André 3000, where is Erykah Badu at? Who that?|-|Who that said they gon' beat Lil Wayne?|-|My name ain't Bic, but I keep that flame, man|-|Who that one that do that, boy?|-|You knew that, true that, swallow|-|And I be the shit, now you got loose bowels|-|I don't owe you like two vowels|-|But I would like for you to pay me by the hour|-|And I'd rather be pushing flowers|-|Than to be in the pen sharing showers|-|Tony told us this world was ours|-|And the Bible told us every girl was sour|-|Don't play in her garden and don't smell her flower|-|Call me Mr. Carter or Mr. Lawn Mower|-|Boy, I got so many bitches, like I'm Mike Lowrey|-|Even Gwen Stefani said she couldn't doubt me|-|Motherfucker, I say: ""Life ain't shit without me.""|-|Chrome lips poking out the coupe, look like it's pouting|-|I do what I do and you do what you can do about it|-|Bitch, I can turn a crack rock into a mountain; dare me!|-|Don't you compare me, 'cause there ain't nobody near me|-|They don't see me but they hear me|-|They don't feel me, but they fear me; I'm illy, C3, 3 Peat"
lollipop,lil-wayne,"Oww! Uh-huh|-|No homo, Young Moolah baby|-|I said he's so sweet, make her wanna lick the wrapper|-|So I let her lick the rapper She, she, she licked me like a lollipop|-|She, she licked me like a lollipop|-|She, she, she licked me like a lollipop|-|She, she licked me like a lollipop Shawty want a thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps|-|Shawty wanna thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps Okay, lil mama had a swag like mine|-|She even wear her hair down her back like mine|-|I make her feel right when it's wrong like lyin'|-|Man, she ain't never had a love like mine|-|But man, I ain't never seen an ass like hers|-|That pussy in my mouth had me lost for words|-|So I told her back it up like, ""burp, burp""|-|And made that ass jump like, ""jerp, jerp""|-|And that's when she She, she, she licked me like a lollipop (oh yeah I like that)|-|She, she licked me like a lollipop (oh yeah I like that)|-|She, she, she licked me like a lollipop (I like that)|-|She, she licked me like a lollipop Shawty want a thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps|-|Shawty wanna thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps Now get up after you back it up, don't stop|-|Drop it, shawty, drop it like it's hot|-|Ooh, drop it like it's hot|-|Do it, shawty, don't stop Shawty say the nigga that she with ain't shit|-|Shawty say the nigga that she with ain't this|-|Shawty say the nigga that she with can't hit|-|But, shawty, I'ma hit it, hit it like I can't miss|-|And ""he can't do this,"" and ""he don't do that!""|-|Shawty need a refund, need to bring that nigga back|-|Just like a refund, I make her bring that ass back|-|And she bring that ass back, because I like that Shawty want a thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps Shawty wanna lick, lick, lick, lick, lick me like a lollipop|-|Shawty wanna lick, lick, lick, lick, lick me like a lollipop|-|Shawty wanna lick me like a lollipop|-|So I let her lick the rapper like a lollipop Shawty want a thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps|-|Stat! Call me, so I can make it juicy for ya|-|Call me, so I can get it juicy for ya|-|Call me, so I can make it juicy for ya|-|Call me, so I can get it juicy for ya|-|Call me, so I can make it juicy for ya|-|Call me, so I can get it juicy for ya|-|Call me, so I can make it juicy for ya|-|Call me, so I can get it juicy for ya Shawty want a thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps|-|Shawty want a thug|-|Bottles in the club|-|Shawty wanna hump|-|You know I love to touch ya lovely lady lumps I get her on top, she drop it like it's hot|-|And when I'm at the bottom, she Hillary Rodham|-|The middle of the bed, givin', gettin' head|-|Givin', gettin' head, givin', gettin' head|-|I said hmm, I like that|-|Said hmm, yeah, I like that|-|I said hmm, yeah, I like that, hmm|-|Call me, so I can come and do it for ya|-|Call me, so I can come and prove it for ya|-|Call me, so I can make it juicy for ya|-|Call me, so I can get it juicy for ya Shawty wanna lick, lick, lick, lick, lick me like a lollipop|-|She, she licked me like a lollipop|-|I said he's so sweet, make her wanna lick the wrapper|-|(What you do?) So I let her lick the rapper"
how-to-love,lil-wayne,"Cut the music up|-|A lil' louder|-|Yeah You had a lot of crooks tryna steal your heart|-|Never really had luck, couldn't never figure out|-|How to love, how to love You had a lot of moments that didn't last forever|-|Now you in the corner tryna put it together|-|How to love, how to love|-|For a second you were here, now you over there|-|It's hard not to stare, the way you moving your body|-|Like you never had a love, never had love When you was just a young'un, your looks were so precious|-|But now your grown up, so fly it's like a blessing|-|But you can't have a man look at you for 5 seconds|-|Without you being insecure|-|You never credit yourself so when you got older|-|It's seems like you came back 10 times over|-|Now you're sitting here in this damn corner|-|Looking through all your thoughts and looking over your shoulder See you had a lot of crooks tryna steal your heart|-|Never really had luck, couldn't never figure out|-|How to love, how to love See you had a lot of moments that didn't last forever|-|Now you in this corner tryna put it together|-|How to love, how to love For a second you were here, now you over there|-|It's hard not to stare, the way you moving your body|-|Like you never had a love, had a love Ooohh, you had a lot of dreams that transform to visions|-|The fact that you saw the world affected all your decisions|-|But it wasn't your fault, wasn't in your intentions|-|To be the one here talking to me, be the one listening|-|But I admire your poppin' bottles and dippin'|-|Just as much as you admire bartending and strippin'|-|Baby, so don't be mad, nobody else trippin'|-|You see a lot of crooks and the crooks still crook You see you had a lot of crooks tryna steal your heart|-|Never really had luck, couldn't never figure out|-|How to love, how to love See you had a lot of moments that didn't last forever|-|Now you in this corner tryna put it together|-|How to love, how to love Ooohh, see I just want you to know|-|That you deserve the best|-|You're beautiful|-|You're beautiful|-|Yeahh|-|And I want you to know|-|You're far from the usual|-|Far from the usual You see you had a lot of crooks tryna steal your heart|-|Never really had luck, couldn't never figure out|-|How to love, how to love|-|See you had a lot of moments that didn't last forever|-|Now you in this corner tryna put it together|-|How to love, how to love|-|See you had a lot of crooks tryna steal your heart|-|Never really had luck, couldn't never figure out|-|How to love, how to love|-|Yeahh, see you had a lot of moments that didn't last forever|-|Now you in this corner tryna put it together|-|How to love, how to love"
drop-the-world,lil-wayne,"I got ice in my veins, blood in my eyes Hate in my heart, love in my mind|-|I seen nights full of pain, days of the same|-|You keep the sunshine, save me the rain|-|I search but never find, hurt but never cry|-|I work and forever try, but I'm cursed so never mind|-|And it's worse but better times seem further and beyond|-|The top gets higher, the more that I climb|-|The spot gets smaller and I get bigger|-|Tryna get into where I fit in, no room for a nigga|-|But soon for a nigga it be on motherfucker|-|'Cause all this bullshit, it made me strong motherfucker So I pick the world up and imma drop it on your fuckin' head, yeah! Bitch, imma pick the world up and imma drop it on your fuckin' head|-|(YEAH) And I could die now rebirth motherfucker|-|Hop up in my spaceship and leave Earth|-|Motherfucker I'm gone Motherfucker I'm gone|-|Uhhhh! I know what they don't wanna tell you|-|Just hope you're heaven sent, and you're hell proof|-|I walk up in the world and cut the lights off|-|And confidence is a stain they can't wipe off|-|Uhhh, my word is my pride|-|But wisdom is bleak and that's a word from the wise Served to survive, murdered and bribed|-|And when it got too heavy I put my burdens aside|-|So I could pick the world up and imma drop it on your fuckin' head, ha ha yeah! Bitch, imma pick the world up and imma drop it on your fuckin' head|-|(YEAH) And I could die now rebirth motherfucker|-|Hop up in my spaceship and leave Earth Motherfucker I'm gone|-|Motherfucker I'm gone|-|I'm gone|-|It hurts but I never show, this pain you'll never know If only you could see just how lonely and how cold|-|And frostbit I've become, my back's against the wall|-|When push comes to shove I just stand up and scream 'Fuck 'em all! '|-|Man it feels like these walls are closin' in|-|This roof is cavin' in, but it's time to raise it then|-|Your days are numbered like pages in|-|my book of rhymes-got em cookin' boy|-|crooked mind of mine-got them all sAnd-scared to look in my-eyes|-|I stole that fuckin' clock, I took the time|-|And I-came up from behind and- pretty much snuck up|-|And butt fucked this game up|-|Better be careful when you bring my name up|-|Fuck this fame, that ain't what I came to claim|-|But the game ain't gonna be the same on the day that I leave it|-|But I swear one way or another I'm a make these fuckin' haters believe it|-|I swear to God, won't spare the rod|-|I'm a man of my word, so your fuckin' heads better nod|-|Or I'm a fuck around in this bitch and roast everybody|-|Sleep on me that pillow is where your head'll lie|-|Permanently bitch, it's beddy bye|-|This world is my Easter egg, yeah prepare to die|-|My head is swole, my confidence is up|-|This stage is my pedestal, I'm unstoppable|-|Incredible hulk you're trapped in my medicine bowl I could run circles around you so fast your fuckin head'll spin, dawg|-|I split your cabbage and your lettuce and olives|-|I'll fuckin'|-|Pick the world up and imma drop it on your fuckin' head, yeah! Bitch, imma pick the world up and imma drop it on your fuckin' head|-|And I could die now rebirth motherfucker|-|Hop up in my spaceship and leave Earth|-|Motherfucker I'm gone|-|Motherfucker I'm gone|-|I'm gone"
sucker-for-pain,lil-wayne,"I torture you|-|Take my hand through the flames|-|I torture you|-|I'm a slave to your games|-|I'm just a sucker for pain I wanna chain you up|-|I wanna tie you down|-|I'm just a sucker for pain I'm a sucker for pain|-|I got the squad tatted on me from my neck to my ankles|-|Pressure from the man got us all in rebellion|-|We gon' go to war, yeah, without failure Do it for the fam, dog, ten toes down, dog|-|Love and the loyalty that's what we stand for|-|Alienated by society, all this pressure give me anxiety Walk slow through the fire|-|Like, who gon' try us?|-|Feeling the world go against us|-|So we put the world on our shoulder I torture you|-|Take my hand through the flames|-|I torture you|-|I'm a slave to your games|-|I'm just a sucker for pain I wanna chain you up|-|I wanna tie you down|-|I'm just a sucker for pain I been at it with my homies|-|it don't matter, you don't know me|-|I been rolling with my team, we the illest on the scene|-|I been riding 'round the city with my squad|-|I been riding 'round the city with my squad We just posted, getting crazy, living like this is so amazing|-|Hold up take a step back, when we roll up, cause I know what|-|We been loyal, we been fam, we the ones you trust in|-|Won't hesitate to go straight to your head like a concussion I know I been busting, no discussion for my family|-|No hesitation, through my scope I see my enemy|-|Like what's up? Hold up, we finna re-load up|-|Yes I re-load up, I know what up, I know what up I torture you|-|Take my hand through the flames|-|I torture you|-|I'm a slave to your games|-|I'm just a sucker for pain I wanna chain you up|-|I wanna tie you down|-|I'm just a sucker for pain I'm devoted to destruction|-|A full dosage of detrimental dysfunction|-|I'm dying slow but the devil tryna rush me|-|See I'm a fool for pain, I'm a dummy|-|Might cut my head off right after I slit my throat|-|Tongue kiss a shark, got jealous bitches up in the boat|-|Eating peanut butter and jelly fishes on toast|-|And if I get stung I get stoked, might choke|-|Like I chewed a chunk of charcoal|-|Naked in the North Pole|-|That's why my heart cold, full of sorrow, the lost soul|-|And only Lord knows when I'm coming to the crossroads|-|So I don't fear sh! t but tomorrow And I'm a sucker for pain, it ain't nothing but pain|-|You just fvcking complain, you ain't tough as you claim|-|Just stay up in your lane, just don't fvck with Lil Wayne|-|I'mma jump from a plane or stand in front of a train Cause I'm a sucker for pain|-|Used to doing bad, now we feel like we just now getting it|-|Ain't got no other way so we started and finished it No pain, no gain|-|Never stand down, made our own way|-|Never going slow, we pick up the pace|-|This is what we wanted from a young age No emotion, that's what business is|-|Lord have mercy on the witnesses I torture you|-|Take my hand through the flames|-|I torture you|-|I'm just a sucker for pain More pain|-|got me begging, begging, begging, begging, begging, begging|-|for more pain|-|got me begging, begging, begging, begging, begging, begging|-|for more pain|-|got me begging, begging, begging, begging, begging, begging|-|for more pain"
mrs.-officer,lil-wayne,"Valentine woo, woo, wooo... (yeah, yeahh)... yea, yea, yeaa|-|(Yeah, yeahh) woo, woo, wooo... (yeah)... yea, yea, yeaa|-|(Yeahh) woo, woo, (yeahh) wooo... (Bobby Valentino)|-|When I get up all in ya (yeah)|-|We can hear the angels calling us (chea)|-|We can see the sunrise before us (yeah)|-|And when I'm in that thang, I'll make that body sang|-|(Diesel on the beat) I make it say...|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee (ay)|-|Wee ooh wee ooh wee (hahaha)... I'll make ya say...|-|(Yeahh)... doing a buck in the latest drop|-|I got stopped by a lady cop|-|Ha ha... she got me thinking I can date a cop|-|Ha ha... cause her uniform pants are so tight|-|She read me my rights|-|She put me in a car, she cut off all the lights|-|She said I had the right to remain silent|-|Now I got her hollering sounding like a siren|-|Talkin' bout...|-|(Wee ooh wee ooh wee) yea|-|(Wee ooh wee ooh wee) yea|-|(Wee ooh wee ooh wee) yea And I know she the law and she know I'm the boss And she know I get high a-bove the law|-|And she know I'm raw, she know it from the street|-|And all she want me to do is fuck the police|-|Talkin' bout...|-|(Wee ooh wee ooh wee)|-|(Wee ooh wee ooh wee) yea|-|(Wee ooh wee ooh wee) yea|-|When I get up all in ya|-|We can hear the angels calling us (yeaa)|-|We can see the sunrise before us (hmm)|-|And when I'm in that thang, I'll make that body sang|-|I make it say...|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee (yeah)|-|Wee ooh wee ooh wee (hey)|-|I'll make ya say...|-|Ha ha... and after we got done I said lady what's ya number she said 911|-|Haaa... emergency only Head doctor perform surgery on me Yeahh... and now I'm healed|-|I make her wear nothing but handcuffs and heels|-|Then I beat it like a cop Rodney King baby yeah I beat it like a cop|-|Ha haaa... beat it like a cop|-|Rodney King baby said beat it like a cop|-|But I ain't tryna be violent|-|But I'll do the time but her love is timeless|-|Mrs. Officer...|-|I know you wish ya name was Mrs. Carter huh?|-|(Wee ooh wee ooh wee)|-|(Wee ooh wee ooh wee) yeah|-|(Wee ooh wee ooh wee) Like a cop car...|-|When I get up all in ya|-|We can hear the angels calling us|-|We can see the sunrise before us And when I'm in that thang, I'll make that body sang|-|I make it say.|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee|-|I'll make ya say...|-|Mrs. Officer, Mrs. Officer|-|Tell your lieutenant get them cuffs off of ya|-|I'm Kidd Kidd... my face on every wanted poster I'm wanted by every lady cop all over|-|That ass so big I catch a battery to hold ya|-|Hands so big you thought I told ya to pull it over|-|She pulled me over... pulled me out the Rover|-|Then she pulled me closer... do me in the back of the car Put me in handcuffs start ripping my pants off|-|(all you heard on the dispatcher is...)|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee|-|Maybe you can lock me up and throw away the key|-|Call your sergeant and tell him you can't finish your shift|-|Cause it's on... tonight Breakfast in bed turns to breakfast and head|-|And I can't wait to get it on|-|Wanna do it all night long... Mrs. Officer|-|When I get up all in ya|-|We can hear the angels calling us|-|We can see the sunrise before us|-|And when I'm in that thang, I'll make that body sang|-|I make it say...|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee|-|Wee ooh wee ooh wee|-|I'll make ya say..."
