song,artist,lyrics
in-my-feelings,drake,"Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, yup Kiki, do you love me
Are you riding, say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always
KB, do you love me
Are you riding say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always Look the new me is really still the real me
I swear you gotta feel me before they try and kill me
They gotta make some choices they running out of options
'Cause I've been going off and they don't know when its stopping
And we came to the top and I see that you've been learning
And when I take you shopping you spend it like you earned it
And when you popped off on your ex he deserved it
I thought you were the one from the jump, that confirmed it
TrapMoneyBenny
I buy you champagne but you love some Henny
From the block like you Jenny
I know you special girl 'cause I know too many 'Resha, do you love me
Are you riding, say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always
JT, do you love me
Are you riding say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always Two bad bitches and we kissing in the wraith
Kiss-kissing in the wraith, kiss-kissing in the wraith
I need that black card and a code to the safe
Code to the safe, code-code to the safe
I show 'em how to network, fuck that Netflix and chill
What's your net-net-net worth Cause I want ya, and I need ya
And I'm down for you always
And I'm down for you always
And I'm down for you always
D-d-down for you always
D-d-down for you always
I got a new boy, and that nigga trap! Kiki, do you love me
Are you riding, say you'll never ever leave
From beside me, 'cause I want you, and I need you
And I'm down for you always
KB, do you love me
Are you riding say you'll never ever leave
From beside me, 'cause I want you, and I- Bring that ass, bring that ass, bring that ass back
B-bring that ass, bring that ass, bring that ass back
Shawty say the nigga that she with can't hit
But, shawty, I'ma hit it, hit it like I can't miss
Clap that ass, you're the only one I love, clap that ass
Bring that ass back
You're the only one I love, let's go, let's go, lets go Trap, TrapMoneyBenny
This shit got me in my feelings
I just gotta be real with it, yup I don't even care,
I'm just being real, my shit look..."
nonstop,drake,"Tay Keith, fuck these niggas up! Look, I just flipped a switch (flipped, flipped)
I don't know nobody else that's doin' this
Bodies start to drop (ayy, hit the floor)
Now they wanna know me since I hit the top, ayy
This a Rollie, not a stopwatch, shit don't ever stop
This the flow that got the block hot, shit got super hot
Give me my respect (give me my respect)
I just took it left like I'm ambidex
Bitch, I move through London with the Euro step
Got a sneaker deal and I ain't break a sweat
Catch me 'cause I'm goin' outta there (I'm gone)
How I go from 6 to 23 like I'm LeBron?
Servin' up a pack (servin' up a pack)
Niggas pullin' gimmicks 'cause they scared to rap
Funny how they shook (ayy, got these niggas shook)
Pullin' back the curtain by myself, take a look, ayy
I'm a bar spitta, I'm a hard hitta
Yeah, I'm light-skinned, but I'm still a dark nigga
I'm a wig splitta, I'm a tall figure
I'm a unforgivin' wild-ass dog, nigga
Somethin' wrong with 'em, got 'em all bitter
I'm a bill printer, I'm a grave digger
Yeah, I am what I am
I don't have no time for no misunderstandings again (My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin')
This a Rollie, not a stopwatch, shit don't ever stop
From smokin' the chicken, the face is tickin'
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is-) Future took the business and ran it for me
I let Ollie take the owl, told him brand it for me
I get 2 million a pop and that's standard for me
Like I went blind, dog, you gotta hand it to me
(Gotta gimme that shit, dog)
Prayed, then I prayed again (amen, Lord)
Had a moment but it came and went (they don't love you no more)
You don't wanna play with him (nah, nah, nah)
They'll be mournin' you like 8AM (R.I.P.)
Pinky ring 'til I get a wedding ring (woah, yeah)
Love my brothers, cut 'em in on anything (big slice)
And you know it's King Slime Drizzy, damn (ooh, yeah)
She just said I'm bae, I hit the thizzle dance (Mac Dre shit, damn)
Either hand is the upper hand (oh, yeah, shit)
Got a bubba on my other hand (oh, yeah, shit, yeah)
This shit ain't no hundred bands (nah, nah, nah, nah)
Palace look like Buckingham
Bills so big, I call 'em Williams, for real
Reasons to go crazy, got a trillion, for real
They been tryin' me but I'm resilient, for real
I can't go in public like civilian, for real
And I hardly take offense
Money for revenge, man, that's hardly an expense
Al Haymon checks off of all of my events
I like all the profit, man,
I hardly do percents (I don't do that shit)
A big part of me resents
Niggas that I knew from when I started in this shit
They see what I got and, man, it's hard to be content
Fuck what they got goin' on, I gotta represent (My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin')
This a Rollie, not a stopwatch, shit don't ever stop
(From smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin', from smokin' the chicken, the face is tickin')
(My head is spinnin')
This the flow that got the block hot, shit got super hot"
god's-plan,drake,"[Intro]
Yeah they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yuh [Verse 1]
I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 AM to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Guess I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, s*** was different with me [Chorus 1]
God's plan, God's plan
I hold back, sometimes I won't, yuh
I feel good, sometimes I don't, ay, don't
I finessed down Weston Road, ay, 'nessed
Might go down a G.O.D., yeah, wait
I go hard on Southside G, yu
ait
I make sure that north-side eat
And still [Bridge]
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yuh, ay, ay [Verse 2]
She say, ""Do you love me?"" I tell her, ""Only partly""
I only love my bed and my momma, I'm sorry
Fifty dub, I even got it tatted on me
81, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there would be no me
Imagine if I never met the broskies [Chorus 2]
God's plan, God's plan
I can't do this on my own, ay, no, ay
Someone watchin' this s*** close, yep, close
I've been me since Scarlett Road, ay, road, ay
Might go down as G.O.D., yeah, wait
I go hard on Southside G, ay, wait
I make sure that north-side eat, yuh
And still [Bridge]
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yeah, yeah
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yeah"
behind-barz,drake,"[Intro]
Yeah
Link Up TV, Behind Barz
Big up man like Rasheed, Joey, Tadas
Shoutout Giggs for settin' the ting
SN1, OVO
Mm-hmm, yeah, look [Hook 1]
You know how the paigon chit-chat goes
I like R's and V's and O's
I don't really play no tic-tac-toe
Been with Chubbs through highs and lows
We seen man last night, they froze
Wasn't no cameras, wasn't no pose
Just like that one time at 'chella
Good thing man weren't pullin' out phones [Verse 1]
Stay in big six six with woes
Man start dissin' and doin' reposts
They do anything except road
Still can't see them after snows
I don't have time for the wasteman jokes
Personal ting if I'm getting up close
Loyal to O 'cause I've taken a oath
Versace hotel and I'm taking the robes
Seen 'em in person, I'm seeing a ghost
They told me relax 'cause they're taking control
Take all that shit up with P and his bro
I wish you the best, let me know how it goes
Wanna be free and I wanna let go
We came around and you showed us the most
I know so much shit that I cannot expose
I keep it inside and I laugh on my own
Got all the tea and I'm hottin' it up
I need a shade mansion, a room's not enough
You're droppin' some shit but that shit was a bust
They got no direction, they're followin' us
I come from a city that they never touch
Your man is a goofy and he could get brushed
I can't name a rapper or girl that I trust
I dream about turning these yutes into dust [Bridge]
Yeah, yeah
Big Scorpion, out now, yeah, look [Hook 2]
You know how the paigon chit-chat goes
I like R's and V's and O's
I don't really play no tic-tac-toe
Been with Roxx through highs and lows
We seen man last night, they froze
Wasn't no cameras, wasn't no pose
Just like that one time at Nobu
A good thing man weren't pullin' out phones [Verse 2]
Think you know me, that's not true
We got ties in West End too
She came over and she got slew
Throwin' up six like man have flu
I got way too big off Views
Back to the basics, I won't lose
They wanna link when they got no chunes
They too worried about sellin' out shoes
I don't give a fuck about jeans or crep
Or going to Milan or going to the Met
I just wanna make these songs for the set
I just wanna load that, let that wet
I got so much tings in the stash
Fold up anyone, done that clash
Got no sense like jizzle and shh
Big and bad like leader and shh
Can't do love 'cause they get too attached
Phone get broke and whip get scratched
I'ma just take my knots and cash
They can never tie me down, that's facts
All that bark but we know he's a cat
I don't really like going tit for tat
I'ma just come like tat-tat-tat
I'ma just end that there, that's that [Outro]
Yeah, Link Up TV
Drizzy Drake
Maddas, jheeze"
i'm-upset,drake,"Yeah
I'm workin' on dyin' I'm upset
Fifty thousand on my head, it's disrespect
So offended that I had to double check
I'ma always take the money over sex
That's why they need me out the way
What you expect? Got a lot of blood and it's cold
They keep tryna get me for my soul
Thankful for the women that I know
Can't go fifty-fifty with no ho
Every month, I'm supposed to pay her bills
And get her what she want
I still got like seven years of doin' what I want
My dad still got child support from 1991
Outta time, people love to pop a lot of shit then come around
Word to Flacko Jodye, he done seen us put it down
Niggas askin' if I'm cool I'm upset
Hunnid thousand on my head, it's disrespect
So offended that I had to double check You tryna check?
This is real life, niggas think we playin' chess
So what's next?
Jump up out the bed like I'm possessed
I go out on tour and I say I'm drinkin' less
End up gettin' loose and gettin' pictures from my ex
SMS, triple X
That's the only time I ever shoot below the neck (skrr)
Why you keep on shootin' if you know that nigga dead? (Skrr)
That's the only kind of shit that gets you some respect Got a lot of blood and it's cold
They keep tryna get me for my soul
Thankful for the women that I know
Can't go fifty-fifty with no ho (ayy, ayy)
Every month, she don't even love me, she just puttin' on a front
She gon' tryna settle outta court and make a run
Then gon' ask me how I'm doin'? I'm upset
Half a million on my head I can't accept, yeah
'Least it makes me feel someone tried their best, yeah
Want to waste a half a million, be my guest
Made me wanna buy a vest and a tech (skrr)
But I'm blessed, I just checked
Hate me, never met me in a flesh
Said she's got somethin's she gotta come here and collect
That shit is in a box to the left, to the left Got a lot of blood and it's cold
They keep trynna get me for my soul
Thankful for the women that I know
Can't go fifty-fifty with no ho"
hyfr,drake,"Gotta do what I gotta do All my exes live in Texas like I'm George Strait
Or they go to Georgia State where,
Tuition is handled by some random nigga that live in Atlanta
That she only see when she feels obligated
Admitted it to me the first time we dated
But she was no angel, and we never waited
I took her for sushi, she wanted to fuck
So we took it to go, told them don't even plate it
And we never talk too much after I blew up
Just only ""hello"" or ""happy belated""
And I think I text her and told her I made it
And that's when she text me and told me she prayed it
And that's when I text her and told her I love her
Then right after texted and told her I'm faded
She asked
What have I learned since getting richer
I learned working with the negatives could make for better pictures
I learned Hennessy and enemies is one hell of a mixture
Even though it's fucked up, girl, I'm still fucking wit' ya
Damn, is it the fall
Time for me to revisit the past
It's women to call
There's albums to drop, there's liquor involved
There's stories to tell, we been through it all
Interviews are like confessions
Get the fuck up out my dressing room, confusing me with questions like Do you love this shit?
Are you high right now?
Do you ever get nervous?
Are you single?
I heard you fucked your girl, is it true?
You getting money? You think them niggas you with is with you?
And I say (And I say) Hell yeah
Hell yeah, hell yeah
Fuckin' right
Fuckin' right, all right
(And we say) Hell yeah
Hell yeah, hell yeah
Fuckin' right
Fuckin' right, alright So much for being optimistic
They say love is in the air, so I
Hold my breath until my face turn purple, keep a few bad bitches in my circle
My nuts hang like ain't no curfew, bitch, if you wave, then I will surf you
I flew jet, she flew commercial but we still met later that night
After my session, she came over, I was aggressive and she was sober
I gave her pills, she started confessing and started undressing and ask me to hold her
And so I did, but that was last month and now she's texting me asking for closure
Damn, she say this shit gon' catch up to me, I keep tissue paper
We eat each other whenever we at the dinner table
She say she hate that she love me and she wish I was average
Shit, sometimes I wish the same and I wish she wasn't married
Promises, I hope I never break 'em
Met a female dragon, had a fire conversation
But, interviews are like confessions
Get the fuck up out my bedroom confusing me with questions like Do you love this shit?
Are you high right now?
Do you ever get nervous?
Are you single?
I heard you fucked your girl, is it true?
You getting money? You think them niggas you with is with you?
And I say (And I say) Hell yeah
Hell yeah, hell yeah
Fuckin' right
Fuckin' right, all right
(And we say) Hell yeah
Hell yeah, hell yeah
Fuckin' right
Fuckin' right, alright"
best-i-ever-had,drake,"You know alot of girls be
Thinkin' my songs are about them, but This is not to get confused
This one's for you
Baby, you my everything
You all I ever wanted
We could do it real big
Bigger than you ever done it
You'll be up on everything
Other hoes ain't ever on it
I want this forever
I swear I can spend whatever on it
'Cause she hold me down
Every time I hit her up When I get right I promise that we gon' live it up
She made me beg for it 'Til she give it up
And I say the same thing every single time
I say you the fuckin' best
You the fuckin' best
You the fuckin' best
You the fuckin' best
You the best I ever had
Best I ever had
Best I ever had
Best I ever had
I say you the fuckin'...
Know you got a roommate
Call me when there's no one there
Put the key under the mat
You know I'll be over there
(Yup!) I'll be over there
Shorty, I'll be over there
I'll be hittin' all the spots that you ain't even know was there
And you don't even have to ask twice You could have my heart or we can share it like the last slice
Always felt like you was so accustomed to the fast life
Have a nigga thinkin' that he met you in a past life Sweatpants hair tied chillin' with no make-up on
That's when you're the prettiest
I hope that you don't take it wrong
You don't even trip when friends say
You ain't bringin' Drake along
You know that I'm workin'
I'll be there as soon as I make it home
And she a patient in my waitin' room
Never pay attention to the rumors and what they assume And until them girls prove it
I'm the one that never get confused wit cause Baby, you my everything
You all I ever wanted We could do it real big
Bigger than you ever done it You'll be up on everything
Other hoes ain't ever on it
I want this forever
I swear I can spend whatever on it
'Cause she hold me down
Every time I hit her up
When I get right
I promise that we gon' live it up
She made me beg for it
'Til she give it up And I say the same thing every single time.
I say you the fuckin' best
You the fuckin' best
You the fuckin' best
You the fuckin' best
You the best I ever had Best I ever had
Best I ever had
Best I ever had
I say you the fuckin'...
Sex, love, pain, baby I be on that Tank shit
Buzz so big I could probably sell a blank disc
When my album drop, bitches'll buy it for the picture And niggas'll buy it too and claim they got it for their sister
Magazine, paper girl, but money ain't the issue They bring dinner to my room and ask me to initial
She call me 'the referee' cause I be so official
My shirt ain't got no stripes but I can make your pussy whistle
Like the Andy Griffith theme song
And who told you to put them jeans on? Double cup love, you the one I lean on
Feelin' for a fix, then you should really get your fiend on Yeah, just know my condo is the crack spot
Every single show she out there reppin' like a mascot
Get it from the back and make your fuckin' bra strap pop
All up in your slot 'til a nigga hit the jackpot
I'm sayin'
Baby, you my everything
You all I ever wanted
We could do it real big
Bigger than you ever done it You'll be up on everything
Other hoes ain't ever on it
I want this forever
I swear I can spend whatever on it
'Cause she hold me down
Every time I hit her up
When I get right
I promise that we gon' live it up
She made me beg for it 'Til she give it up
And I say the same thing every single time
I say you the fuckin' best You the fuckin' best
You the fuckin' best
You the fuckin' best
You the best I ever had
Best I ever had
Best I ever had
Best I ever had
I say you the fuckin' best
You the fuckin' best
You the fuckin' best
You the fuckin' best
You the best I ever had
Best I ever had
Best I ever had
Best I ever had
I say you the f...
Uh
Oh yeah
See this the type of joint you got to dedicate to somebody
Just make sure they that special somebody
Young money
Yeah, yeah
You know who you are...
I got you"
nice-for-what,drake,"I wonder who mothafucking representin' in here tonight
Hold on, hold on I keep letting you back in
How can I explain myself?
Care for me, care for me!
I know you care for me!
There for me, there for me! (Louisiana shit)
Said you'd be there for me!
Cry for me, cry for me! (Murda on the beat)
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!
I keep letting you back in
How can I explain myself?
Care for me, care for me!
I know you care for me!
There for me, there for me! (A song for y'all to cut up to, you know?)
Said you'd be there for me!
Cry for me, cry for me! (Yeah)
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?! Everybody get your mothafuckin' roll on
I know shorty and she doesn't want no slow song
Had it made last year, life goes on
Haven't let that thing loose, girl, in so long
You been inside, know you like to lay low
I've been peepin' what you bringin' to the table
Workin' hard, girl, everything paid for
First, last phone bill, car note, cable With your phone out, gotta hit them angles
With your phone out snappin' like you Fabo
And you showin' off, but it's alright
And you showin' off, but it's alright
It's a short life, yuh Care for me, care for me!
I know you care for me!
There for me, there for me!
Said you'd be there for me!
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?! That's a real one, in your reflection
Without a follow, without a mention
You rarely pipin' up on these niggas
You gotta be nice for what to these niggas
I understand, you gotta hunnid bands
You got it, baby, Benz
You got some bad friends
High school pics, you was even bad then
You ain't stressing off no lover in the past tense
You already had then
Work at 8am, finish around five
Hoes talk down, you don't see them outside
They don't really be the same offline
You know dog days, you know hard times
Doing overtime for the last month
Saturday, call the girls, get em gassed up
Gotta hit the club, gotta make that ass jump
Gotta hit the club like you hit them muthafucking angles With your phone out snappin' like you Fabo
And you showin' off, but it's alright
And you showin' off, but it's alright
It's a short life, yuh These hoes
Your boy
I may
Watch the breakdown Care for me, care for me!
I know you care for me!
There for me, there for me!
Said you'd be there for me!
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?! Gotta make that jump
Gotta make that-
Gotta make that-
Gotta make that jump
Gotta make that-
Gotta make that-
Gotta make that jump
Gotta make that-
Gotta make that- That's a real one, in your reflection
Without a follow, without a mention
You rarely piping up on these niggas
You gotta be nice for what to these niggas
I understand Care for me, care for me!
I know you care for me!
There for me, there for me!
Said you'd be there for me!
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?! Gotta hit the club like you hit them, hit them angles
It's a short life, yuh
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!"
hotline-bling,drake,"You used to call me on my
You used to, you used to
Yeah You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl you got me down, you got me stressed out
Cause ever since I left the city, you
Started wearing less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I've never seen before You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Going places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Running out of pages in your passport
Hanging with some girls I've never seen before You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rolling up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone
Why you always touching road
Used to always stay at home, be a good girl
You was in the zone, yeah
You should just be yourself
Right now, you're someone else You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing Ever since I left the city..."
don't-matter-to-me,drake,"Aye, wild things you're doin' at night
Trips to wherever feels right
Doin' it all just to feel things
Drinking's enough of a vice
Drugs just aren't suiting you right
You were just fine as a real thing, thing You, you, you know
That's not the way to get over me
I don't know what you're sayin'
You, you, you know
That's not the way to get over me All of a sudden you say you don't want me no more
All of a sudden you say that I closed the door It don't matter to me
It don't matter to me what you say
It don't matter to me
It don't matter to me what you say I can't recover from our last conversation
You called me weak
And you tested my manhood as we yelled at each other
You wanted me to gon' put my hands on you
Just to show you I love you
You know I can't jeopardize both our reputations
Despite what you say
Despite what you choose to do with yourself this summer
You're actin' out, you know you love to see me down
Stressin' over somethin' (stressin' over somethin') You, you, you, you, you know
That's not the way to get over me
I don't know what you're sayin'
You, you, you know
That's not the way to get over me All of a sudden you say you don't want me no more
All of a sudden you say that I closed the door It don't matter to me
It don't matter to me what you say
It don't matter to me
It don't matter to me what you say (Girl, your love, you think you broke it)
(I'm leavin' you today, you broke my heart)
(Girl, your love, you think you broke it)
(I'm leavin' you today, you broke my heart)"
